Name: RAL Design	
Description: RAL design colors	
78  70  39	RAL 090 30 20
99  94  78	RAL 090 40 10
103  94  61	RAL 090 40 20
106  93  44	RAL 090 40 30
124  119  102	RAL 090 50 10
128  118  85	RAL 090 50 20
132  118  67	RAL 090 50 30
134  118  47	RAL 090 50 40
150  144  127	RAL 090 60 10
155  144  109	RAL 090 60 20
158  144  91	RAL 090 60 30
161  143  72	RAL 090 60 40
163  143  50	RAL 090 60 50
165  143  20	RAL 090 60 60
177  171  153	RAL 090 70 10
182  170  135	RAL 090 70 20
186  170  116	RAL 090 70 30
189  170  97	RAL 090 70 40
192  170  76	RAL 090 70 50
194  169  52	RAL 090 70 60
195  169  14	RAL 090 70 70
197  169  0	RAL 090 70 80
204  198  180	RAL 090 80 10
209  198  161	RAL 090 80 20
214  197  142	RAL 090 80 30
217  197  122	RAL 090 80 40
220  197  102	RAL 090 80 50
223  197  80	RAL 090 80 60
225  196  53	RAL 090 80 70
227  196  1	RAL 090 80 80
228  196  0	RAL 090 80 90
230  226  217	RAL 090 90 05
233  226  207	RAL 090 90 10
238  226  188	RAL 090 90 20
242  225  169	RAL 090 90 30
100  95  61	RAL 095 40 20
102  95  44	RAL 095 40 30
125  119  85	RAL 095 50 20
127  119  67	RAL 095 50 30
129  120  47	RAL 095 50 40
129  120  22	RAL 095 50 50
149  145  127	RAL 095 60 10
152  145  109	RAL 095 60 20
154  145  91	RAL 095 60 30
155  145  72	RAL 095 60 40
156  146  50	RAL 095 60 50
157  146  19	RAL 095 60 60
157  146  0	RAL 095 60 70
175  171  153	RAL 095 70 10
179  171  135	RAL 095 70 20
181  172  116	RAL 095 70 30
183  172  97	RAL 095 70 40
184  172  76	RAL 095 70 50
185  172  52	RAL 095 70 60
186  173  12	RAL 095 70 70
203  198  180	RAL 095 80 10
206  199  161	RAL 095 80 20
209  199  142	RAL 095 80 30
211  199  122	RAL 095 80 40
213  199  102	RAL 095 80 50
214  200  80	RAL 095 80 60
215  200  53	RAL 095 80 70
215  200  0	RAL 095 80 80
231  226  207	RAL 095 90 10
235  227  188	RAL 095 90 20
238  227  169	RAL 095 90 30
240  227  149	RAL 095 90 40
242  227  128	RAL 095 90 50
243  228  109	RAL 095 90 59
49  49  41	RAL 100 20 05
72  71  63	RAL 100 30 05
73  71  55	RAL 100 30 10
73  72  39	RAL 100 30 20
95  95  86	RAL 100 40 05
96  95  78	RAL 100 40 10
97  95  62	RAL 100 40 20
98  96  44	RAL 100 40 30
97  97  23	RAL 100 40 40
120  119  111	RAL 100 50 05
121  120  102	RAL 100 50 10
123  120  85	RAL 100 50 20
123  121  67	RAL 100 50 30
123  122  48	RAL 100 50 40
122  122  23	RAL 100 50 50
146  145  136	RAL 100 60 05
147  145  127	RAL 100 60 10
149  146  110	RAL 100 60 20
149  146  91	RAL 100 60 30
150  147  72	RAL 100 60 40
149  148  51	RAL 100 60 50
148  149  21	RAL 100 60 60
172  171  162	RAL 100 70 05
174  172  153	RAL 100 70 10
175  172  135	RAL 100 70 20
176  173  117	RAL 100 70 30
177  174  97	RAL 100 70 40
177  175  77	RAL 100 70 50
176  175  53	RAL 100 70 60
200  199  189	RAL 100 80 05
201  199  180	RAL 100 80 10
203  200  161	RAL 100 80 20
204  200  142	RAL 100 80 30
205  201  123	RAL 100 80 40
205  202  103	RAL 100 80 50
205  203  81	RAL 100 80 60
204  203  54	RAL 100 80 70
203  204  1	RAL 100 80 80
228  227  217	RAL 100 90 05
229  227  207	RAL 100 90 10
231  228  188	RAL 100 90 20
233  228  169	RAL 100 90 30
234  229  150	RAL 100 90 40
234  230  129	RAL 100 90 50
47  50  34	RAL 110 20 10
68  73  41	RAL 110 30 20
93  96  79	RAL 110 40 10
92  97  63	RAL 110 40 20
89  99  46	RAL 110 40 30
86  100  26	RAL 110 40 40
118  120  103	RAL 110 50 10
116  122  86	RAL 110 50 20
114  123  69	RAL 110 50 30
111  125  51	RAL 110 50 40
108  126  28	RAL 110 50 50
106  127  10	RAL 110 50 55
144  146  128	RAL 110 60 10
142  148  111	RAL 110 60 20
140  149  94	RAL 110 60 30
137  151  75	RAL 110 60 40
134  152  55	RAL 110 60 50
130  154  29	RAL 110 60 60
128  154  3	RAL 110 60 65
170  173  154	RAL 110 70 10
169  174  136	RAL 110 70 20
167  176  119	RAL 110 70 30
164  177  100	RAL 110 70 40
161  179  81	RAL 110 70 50
158  181  58	RAL 110 70 60
153  182  27	RAL 110 70 70
150  183  0	RAL 110 70 77
198  200  181	RAL 110 80 10
196  202  163	RAL 110 80 20
194  203  145	RAL 110 80 30
192  205  126	RAL 110 80 40
189  206  107	RAL 110 80 50
186  208  86	RAL 110 80 60
182  210  61	RAL 110 80 70
226  227  217	RAL 110 90 05
226  228  208	RAL 110 90 10
224  230  190	RAL 110 90 20
222  231  172	RAL 110 90 30
221  232  162	RAL 110 90 35
220  233  153	RAL 110 90 40
232  233  223	RAL 110 92 05
69  72  64	RAL 120 30 05
67  73  57	RAL 120 30 10
62  75  43	RAL 120 30 20
92  95  87	RAL 120 40 05
90  96  80	RAL 120 40 10
